form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,overabundance_tag,source,page,language_id
tedim193,mu:³,1.pl.excl.2.sg.fut.neg,hoŋ¹-mu³ lou³ diːŋ¹,hoŋ¹-Σ lou³ diːŋ¹,hoŋ¹+Σ+lou³+diːŋ¹,h o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵,h o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵,informal,unspec_par; lou_neg,optional_plural,Zhou2025Tedim,nopage,tedim
tedim194,mu:³,1.pl.excl.2.sg.fut.neg,hoŋ¹-mu³ lou³ diːŋ¹ uʔ³,hoŋ¹-Σ lou³ diːŋ¹ uʔ³,hoŋ¹+Σ+lou³+diːŋ¹+uʔ³,h o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵ u ʔ ¹,h o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + u ʔ ¹,informal,unspec_par; lou_neg,,Zhou2025Tedim,nopage,tedim
tedim195,mu:³,1.pl.excl.2.sg.fut.neg,koŋ¹-mu³ kei¹ diːŋ¹ hiː³,koŋ¹-Σ kei¹ diːŋ¹ hiː³,koŋ¹+Σ+kei¹+diːŋ¹+hiː³,k o ŋ ⁵ Σ k ei ⁵ d ii ŋ ⁵ h ii ¹,k o ŋ ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + h ii ¹,formal,,optional_plural,Zhou2025Tedim,nopage,tedim
tedim196,mu:³,1.pl.excl.2.sg.fut.neg,koŋ¹-mu³ kei¹ diːŋ¹ uʔ³ hiː³,koŋ¹-Σ kei¹ diːŋ¹ uʔ³ hiː³,koŋ¹+Σ+kei¹+diːŋ¹+uʔ³+hiː³,k o ŋ ⁵ Σ k ei ⁵ d ii ŋ ⁵ u ʔ ¹ h ii ¹,k o ŋ ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + u ʔ ¹ + h ii ¹,formal,,,Zhou2025Tedim,nopage,tedim
tedim197,mu:³,1.pl.excl.2.sg.fut.neg,koŋ¹-mu³ lou³ diːŋ¹ hiː³,koŋ¹-Σ lou³ diːŋ¹ hiː³,koŋ¹+Σ+lou³+diːŋ¹+hiː³,k o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵ h ii ¹,k o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + h ii ¹,formal,lou_neg,optional_plural,Zhou2025Tedim,nopage,tedim
tedim198,mu:³,1.pl.excl.2.sg.fut.neg,koŋ¹-mu³ lou³ diːŋ¹ uʔ³ hiː³,koŋ¹-Σ lou³ diːŋ¹ uʔ³ hiː³,koŋ¹+Σ+lou³+diːŋ¹+uʔ³+hiː³,k o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵ u ʔ ¹ h ii ¹,k o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + u ʔ ¹ + h ii ¹,formal,lou_neg,,Zhou2025Tedim,nopage,tedim
tedim199,mu:³,1.pl.excl.2.pl.fut.neg,hoŋ¹-mu³ kei¹ nuːŋ³,hoŋ¹-Σ kei¹ nuːŋ³,hoŋ¹+Σ+kei¹+nuːŋ³,h o ŋ ⁵ Σ k ei ⁵ n uu ŋ ¹,h o ŋ ⁵ + Σ + k ei ⁵ + n uu ŋ ¹,informal,,,Zhou2025Tedim,nopage,tedim
tedim200,mu:³,1.pl.excl.2.pl.fut.neg,hoŋ¹-mu³ lou³ diːŋ¹,hoŋ¹-Σ lou³ diːŋ¹,hoŋ¹+Σ+lou³+diːŋ¹,h o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵,h o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵,informal,unspec_par; lou_neg,optional_plural,Zhou2025Tedim,nopage,tedim
tedim201,mu:³,1.pl.excl.2.pl.fut.neg,hoŋ¹-mu³ lou³ diːŋ¹ uʔ³,hoŋ¹-Σ lou³ diːŋ¹ uʔ³,hoŋ¹+Σ+lou³+diːŋ¹+uʔ³,h o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵ u ʔ ¹,h o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + u ʔ ¹,informal,unspec_par; lou_neg,,Zhou2025Tedim,nopage,tedim
tedim202,mu:³,1.pl.excl.2.pl.fut.neg,koŋ¹-mu³ kei¹ diːŋ¹ hiː³,koŋ¹-Σ kei¹ diːŋ¹ hiː³,koŋ¹+Σ+kei¹+diːŋ¹+hiː³,k o ŋ ⁵ Σ k ei ⁵ d ii ŋ ⁵ h ii ¹,k o ŋ ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + h ii ¹,formal,,optional_plural,Zhou2025Tedim,nopage,tedim
tedim203,mu:³,1.pl.excl.2.pl.fut.neg,koŋ¹-mu³ kei¹ diːŋ¹ uʔ³ hiː³,koŋ¹-Σ kei¹ diːŋ¹ uʔ³ hiː³,koŋ¹+Σ+kei¹+diːŋ¹+uʔ³+hiː³,k o ŋ ⁵ Σ k ei ⁵ d ii ŋ ⁵ u ʔ ¹ h ii ¹,k o ŋ ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + u ʔ ¹ + h ii ¹,formal,,,Zhou2025Tedim,nopage,tedim
